district_name,district_type,city,normed_2019,normed_2025,normed_diff,z_sort
96.2,Tax District,Washington,0.0023243207698003475,0.004670618214813359,0.002346297445013011,-0.00014104992283137108
96.3,Tax District,Washington,0.0037363968935130282,0.005831184997428615,0.002094788103915587,-6.662001032964326e-05
97,Tax District,Washington,0.0014626906958089877,0.0027725326470253372,0.0013098419512163496,-4.2466931972739985e-05
98.1,Tax District,Washington,0.0009495011974170065,0.0035416820155202253,0.0025921808181032188,-4.554583188109973e-05
98.2,Tax District,Washington,0.0009251246962433874,0.002341599112734133,0.0014164744164907456,-2.0824748162340256e-05
98.3,Tax District,Washington,0.0017655479689041376,0.002785628533922684,0.0010200805650185463,-5.548525291487749e-05
98.4,Tax District,Washington,0.001465281799648908,0.0021296034557340858,0.0006643216560851778,-5.439012443275715e-05
98.5,Tax District,Washington,0.001016920209950855,0.0013020937448981222,0.00028517353494726715,-3.258577453379985e-05
98.6,Tax District,Washington,0.002582651307005605,0.005292521764394913,0.0027098704573893084,-5.933733973506605e-05
98.7,Tax District,Washington,0.0019025494398964282,0.0031970177282860525,0.0012944682883896243,-0.0001083416950677929
98.8,Tax District,Washington,0.0018853928105874414,0.00275338626877024,0.0008679934581827986,-5.497269057741505e-05
98.9,Tax District,Washington,0.0019435794434198264,0.00311120540018661,0.0011676259567667837,-0.00015752550939396315
99.3,Tax District,Washington,0.0009138294960091718,0.0012745385838912676,0.00036070908788209577,-3.9284504964598455e-05
99.4,Tax District,Washington,0.0013742158200322917,0.00336327727156357,0.001989061451531278,-4.4106556742917746e-05
99.5,Tax District,Washington,0.001398994822773277,0.0028161241895114414,0.0014171293667381644,-4.5044647549730144e-05
99.6,Tax District,Washington,0.001102703356495789,0.0014686407049392843,0.0003659373484434952,-2.5744433514773846e-05
99.7,Tax District,Washington,0.0011762102052360523,0.002434287334179228,0.0012580771289431756,-4.8476155370735796e-05
Adams Morgan BID,Business District,Washington,0.0034542684511372403,0.002955138097527568,-0.0004991303536096723,-2.5950881990866037e-05
Anacostia BID,Business District,Washington,0.004344702543543248,0.004435135449461119,9.043290591787077e-05,-0.00017218351149494993
Anacostia HD,Historic District,Washington,0.0028106936012665517,0.0033005098721799434,0.0004898162709133917,-5.790222644463938e-05
Armed Forces Retirement Home HD,Historic District,Washington,0.00025053206933753623,0.00040855187502995306,0.00015801980569241683,-0.00011524689784891962
Ballpark (Nationals Park),Tax District,Washington,0.0029921211827568933,0.0007260073753057663,-0.002266113807451127,-9.243765134669957e-06
Blagden Alley/Naylor Court HD,Historic District,Washington,0.00046740494510406905,0.0003295859616337385,-0.00013781898347033056,-5.895243248232873e-06
Bloomingdale HD,Historic District,Washington,0.0016584070829408315,0.002395810336153877,0.0007374032532130453,-5.358237831387669e-05
