district_name,district_type,city,normed_2019,normed_2025,normed_diff,z_sort
Guerrero Street Fire Line Historic District,Historic District,San Francisco,7.112407865977838e-05,0.00014742870186729956,7.630462320752119e-05,-5.480424078996293e-07
H.C. Baumann Noriega Street Historic District,Historic District,San Francisco,6.611777215217261e-05,6.818827249331049e-05,2.0705003411378777e-06,-2.7322585083311424e-07
Haight Ashbury Historic District,Historic District,San Francisco,0.005345124125040043,0.002714434324402325,-0.0026306898006377183,-8.14645227364963e-06
Hampshire Street False-Front Historic District,Historic District,San Francisco,2.877187648049287e-05,8.002437930572011e-05,5.1252502825227246e-05,-4.801468094228767e-07
Hartford Street Historic District,Historic District,San Francisco,0.0004929197878638038,0.00026331494765789194,-0.00022960484020591185,-1.2411978786985856e-06
Hayes Valley Commercial Historic District,Historic District,San Francisco,0.003170890963162158,0.0020782051543170857,-0.0010926858088450724,-5.466435140988324e-06
Hayes Valley Residential Historic District,Historic District,San Francisco,0.012364541286232928,0.014291699315235107,0.0019271580290021791,-3.9809355712350225e-05
Hidalgo Terrace Historic District,Historic District,San Francisco,2.3592938714004152e-05,1.1129014717122811e-05,-1.2463923996881342e-05,-4.783705662703142e-07
Horner's Addition East Historic District,Historic District,San Francisco,0.0017694704035503114,0.0007393570150260913,-0.0010301133885242202,-3.7812073969689663e-06
Hunters Point Commercial Drydock Historic District,Historic District,San Francisco,1.3810500710636577e-06,7.673486390590756e-05,7.53538138348439e-05,-7.003563041507732e-06
India Basin Scow Schooner Boatyard Vernacular Cultural Landscape,Historic District,San Francisco,2.5664513820599638e-05,0.00010821583371345939,8.255131989285975e-05,-3.4421286727592815e-06
Ingleside Terrace Historic District,Historic District,San Francisco,0.0027328679156231345,0.0033318486961260193,0.0005989807805028848,-5.963070816505933e-05
Inner Mission Boulevards and Alleys Reconstruction Historic District,Historic District,San Francisco,0.0014978638895744587,0.001287737678055589,-0.00021012621151886963,-8.412674560531741e-06
Inner Richmond Nelson Historic District,Historic District,San Francisco,0.00012176258126544583,0.00039354286572897547,0.00027178028446352967,-2.8879330784548074e-06
Irving Street and 15th Avenue Neighborhood Commerical Historic District,Historic District,San Francisco,5.950024056165925e-05,5.055708481300681e-05,-8.943155748652445e-06,-2.5080998966586776e-07
J.W. Rapple 43rd Avenue Rowhouse Historic District,Historic District,San Francisco,9.667350497445604e-06,1.8753312092389267e-06,-7.792019288206677e-06,-1.4726174413226545e-07
Jackson Square Historic District,Historic District,San Francisco,0.004540087021115853,0.0015938316974783329,-0.00294625532363752,-5.95218352827942e-06
Jackson Square Historic District Extension,Historic District,San Francisco,0.0010489075289728481,0.0007990755539432489,-0.0002498319750295992,-1.7786451280699112e-06
Japantown,Business District,San Francisco,0.002988707441287677,0.0018650015160208238,-0.0011237059252668534,-5.574524948315229e-06
Japantown Community & Cultural Historic District,Historic District,San Francisco,0.0011759641355107045,0.0013635656194914548,0.00018760148398075036,-5.920354851696175e-06
Japantown Cultural District,Arts District,San Francisco,0.009380379801429169,0.007418564318672573,-0.0019618154827565964,-5.6798296100168955e-05
Jersey Street Historic District,Historic District,San Francisco,8.516475438225889e-06,7.839499317310267e-06,-6.769761209156217e-07,-4.865928531216923e-07
Jessie-McCoppin-Stevenson Streets Reconstruction Historic District,Historic District,San Francisco,0.0002498549753566001,0.0003424170329262814,9.256205756968131e-05,-1.2579375834320672e-06
Jordan Park Historic District,Historic District,San Francisco,0.000883526782962975,0.0012035322324473034,0.0003200054494843284,-1.483266896684654e-05
Juri Street Historic District,Historic District,San Francisco,1.1508750592197148e-05,7.378352298644958e-06,-4.13039829355219e-06,-1.7526463125250302e-07
Kearny-Belden Conservation District,Historic District,San Francisco,0.0005704887668552126,0.0002790246894270902,-0.00029146407742812247,-5.384258656704333e-07
Kearny-Market-Mason-Sutter Conservation District,Historic District,San Francisco,0.03599390519586138,0.01894710144119972,-0.017046803754661662,-4.2547471821308136e-05
L. Arthur 18th Street Flats Historic District,Historic District,San Francisco,4.0280627072690015e-06,9.392027613483478e-06,5.3639649062144766e-06,-5.389210855355486e-08
Laguna Honda Historic District,Historic District,San Francisco,0.0027204960087365226,0.003265566497976525,0.0005450704892400026,-3.107550264758174e-05
Leather & LGBTQ Cultural District,Arts District,San Francisco,0.01325434033826865,0.010727755324614837,-0.002526585013653814,-7.227768082884722e-05
Lexington and San Carlos Streets Reconstruction Historic District,Historic District,San Francisco,0.0010937916562824169,0.0005984766008238392,-0.0004953150554585777,-1.8702307897910941e-06
Liberty Hill Historic District,Historic District,San Francisco,0.002154438110859306,0.001634120575342392,-0.000520317535516914,-1.2001943559880601e-05
Liberty Street Historic District,Historic District,San Francisco,0.00017263125888295722,0.0003257081392833084,0.00015307688040035116,-2.259083430544706e-06
Lincoln U. Grant 37th Avenue Rowhouse Historic District,Historic District,San Francisco,1.1278575580353205e-05,4.045796510423652e-05,2.9179389523883315e-05,-6.43021849100478e-07
